id,username,created_at,lng,lat,text
1517009363038261248,MistressMathers,Thu Apr 21 05:16:31 +0000 2022,-83.494088,42.48158,@ghettogospeII I had no idea that April was his first month of sobriety. I swear I learn something new every single… https://t.co/9ves6L7f6u
1517009366154571777,RBaker02729458,Thu Apr 21 05:16:32 +0000 2022,-122.47906950000001,37.616095,@SteveAdams80182 @Scott_Wiener Hondo selling to the white trash from the Midwest.
1517009365663772672,entrovertmusic,Thu Apr 21 05:16:32 +0000 2022,-117.104989,32.810012,the bubble bobble sidekick tho 👾🕹 @neighborheadz https://t.co/8nzWHe3t5R
1517009368188919813,KimmyG56,Thu Apr 21 05:16:32 +0000 2022,-89.88769099999999,35.3184095,@FACTSRTRUTH777 @RecluseMountain AND FUCKING STUPID
1517009370588065792,ChrisPollone,Thu Apr 21 05:16:33 +0000 2022,-73.9685415,40.780709,BrookLLyn
1517009371884134401,StevenLanham721,Thu Apr 21 05:16:33 +0000 2022,-100.0768885,31.1688935,@CharlieCrist Well working two jobs as a man of God in Texas and I still can't keep above the poverty level so it's… https://t.co/Oxo6sasPuu
1517009371724713984,Carlos_Passion,Thu Apr 21 05:16:33 +0000 2022,-97.81364500000001,30.5059585,"Fuc$% both #Trump and #rudygiuliani. If you disagree and you don't like what I got to say, then block me.… https://t.co/a2msbtQyYU"
1517009372890554370,MadDogWSU,Thu Apr 21 05:16:33 +0000 2022,-122.35777250000001,47.818622500000004,@SeattleSonics Basketball
1517009374169993217,SkerlecConBio,Thu Apr 21 05:16:34 +0000 2022,-97.34391500000001,37.6838965,@paradyseb1 @Cat_Searle Thank you! Just might have to get myself one in honor of kicking off my thesis project this month 🤗
1517009375809835009,nickjsciullo,Thu Apr 21 05:16:34 +0000 2022,-97.39381839,27.78452518,This is my beautiful wife at the beach! @melivillalpando @ McGee Beach https://t.co/O5uGpciFn5
1517009376988463104,NikkiYumYum,Thu Apr 21 05:16:34 +0000 2022,-105.5508905,38.997935999999996,Finding out the 2 co workers I do get along with are both scorpios 🦂😆
1517009377206714368,Redfang_Foxx,Thu Apr 21 05:16:34 +0000 2022,-86.24472850000001,32.364145,@FoxWithGuitar SHE’S BAAAAAAAAAAAACK!
1517009379207299073,JordanDominion,Thu Apr 21 05:16:35 +0000 2022,-79.2725695,43.629311,@SantaDecides Can I ride the Polar Express?
1517009383187619841,test5geo1798,Thu Apr 21 05:16:36 +0000 2022,-122.416738,37.776796,TEST_PLACE: 5b62a51d-c8a1-4530-9be6-af9a5c1a497d
1517009383535828993,theeebambi2,Thu Apr 21 05:16:36 +0000 2022,-100.0768885,31.1688935,too much negativity in media concerning black folx i’m not liking it
1517009386190692352,jayli_evans,Thu Apr 21 05:16:36 +0000 2022,-113.4906105,37.123716,jennifer aniston is my #1 girl crush
1517009387742810118,unicorn_nipples,Thu Apr 21 05:16:37 +0000 2022,-97.079654,32.931834,Sad to see such a nasty tattoo that destroys her beauty.
1517009390154379264,test5geo1798,Thu Apr 21 05:16:37 +0000 2022,-122.39872,37.781157,TEST_LAT/LON: 43556204-ef33-46e0-9484-ad2f589711b2
1517009390032674816,foreskinfiesta,Thu Apr 21 05:16:37 +0000 2022,-118.4119065,34.0207895,@xmoonbunny_ 🙈🙈🙈 (first link didn’t work lol) https://t.co/xyrpNNDUe7
1517009391173529600,ricktillery,Thu Apr 21 05:16:38 +0000 2022,-104.949845,39.9054745,I’m flying to Tulsa tomorrow. And… then getting directly into a rental car &amp; driving to Bentonville for a couple of… https://t.co/9y8fLbflOM
1517009392092254209,felis2458,Thu Apr 21 05:16:38 +0000 2022,-75.117998,40.0048655,@LauraAn79091975 Love them! The color looks great on you!
1517009393031606272,JasonDeArte,Thu Apr 21 05:16:38 +0000 2022,-117.789005,33.8904245,Was kang in the asylum?
1517009395267289088,Amandagaribay8,Thu Apr 21 05:16:39 +0000 2022,-95.44648649999999,29.838495,Coffee fact #9 the British brought coffee to America in the mid-17th century
1517009395657453574,BothSidesSports,Thu Apr 21 05:16:39 +0000 2022,-91.36803599999999,39.926189,"@repkingtrep33 Holliday and Lopez were doing their part. However, they need Middleton. He is clutch with the 3’s.… https://t.co/h33pKimUK6"
1517009397045624833,quis__custodiet,Thu Apr 21 05:16:39 +0000 2022,-118.21536,33.95302,0515ZN953LA COUNTY OF LOS ANGELESN33.9530 W118.2154Altitude: 550ftCourse: 183ºGroundspeed: 68kts https://t.co/hO9w484w2N
1517009399906144257,Mentoch,Thu Apr 21 05:16:40 +0000 2022,-122.917508,49.2067515,@BlqMgck Same vibes with the people in this market killing Pascal for not being a #1 on a contender.Like there's… https://t.co/JW0YkouCD2
1517009403018457089,my3whatmatter1,Thu Apr 21 05:16:41 +0000 2022,-83.1738665,32.6782075,I can’t believe this shit
1517009404381569025,LarrabeeDonnie,Thu Apr 21 05:16:41 +0000 2022,-86.1429225,39.7795625,@ShyneSunn1 Just speaking my mind my bad g
1517009408022269954,ChakaKh54069633,Thu Apr 21 05:16:42 +0000 2022,-83.804475,27.698681999999998,@blaqqcocaine I love it
1517009407984480256,TheAlanShane,Thu Apr 21 05:16:42 +0000 2022,-79.2725695,43.629311,[friendly/unfriendly banter back and forth w/ a 76er fan]me: “Well at least we got a chip!!”them: “What are you… https://t.co/YL3iUuzPhk
1517009409637036032,JTenjak,Thu Apr 21 05:16:42 +0000 2022,-77.58194800000001,44.153641,"Titled The Women of Ukraine, my sister Erika Sura is one of the 52 authors of this new book, just released in Ukrai… https://t.co/rEUG86vTpR"
1517009410312183809,NeezyNesss,Thu Apr 21 05:16:42 +0000 2022,-121.3603605,38.5475425,@GeooMETRO @mallik_williams JAKE IS SO FAKE. FAKE ASS BITCH
1517009411125960704,Landyachtpilot,Thu Apr 21 05:16:42 +0000 2022,-97.34962300000001,41.432621999999995,"@Da_Floofy_One That is how you make a man fall hard. She just a drawing, but damn...that be a good drawing matey."
1517009412308754433,ctbowling35,Thu Apr 21 05:16:43 +0000 2022,-81.705467,41.495939500000006,On go
1517009412971368448,plramirez,Thu Apr 21 05:16:43 +0000 2022,-118.0188555,33.9759175,@JradRabel GOLD! 🤣🤣🤣
1517009413927804928,LadiePea,Thu Apr 21 05:16:43 +0000 2022,-86.791549,36.200008,I need to be put to bed
1517009414955450369,moeblak,Thu Apr 21 05:16:43 +0000 2022,-72.757385,41.500753,Any day.
1517009415588638720,finkeland,Thu Apr 21 05:16:44 +0000 2022,-118.4119065,34.0207895,@farokh Word!
1517009417706909696,siirius_on,Thu Apr 21 05:16:44 +0000 2022,-79.2725695,43.629311,@theweeknd bro I wanna writes songs for you. Actually I got songs I wanna give to you
1517009417673322497,santanna_nikki,Thu Apr 21 05:16:44 +0000 2022,-96.91305299999999,32.647124,I done deleted half my stuff on Twitter I no longer going to be log in.. Facebook and Instagram only FB:Nikkole… https://t.co/T0rtrTHnZQ
1517009418935836672,HeelStCloud,Thu Apr 21 05:16:44 +0000 2022,-84.53981250000001,39.137038000000004,@JkiddroxTV I’m still waiting for Fall Guys to come to Switch. I like that game a lot and would love to play it and… https://t.co/5JuILu5zEu
1517009419728433152,emohorseboy,Thu Apr 21 05:16:44 +0000 2022,-111.87286850000001,40.498391,@MiamiUte9 @brooksdame Silly goofy mood tonight ig 🤪
1517009421431447552,pauleaman,Thu Apr 21 05:16:45 +0000 2022,-87.732013,41.8335845,"@TheValPerrine Too hard to choose, Valerie."
1517009422635220993,iseborfrank,Thu Apr 21 05:16:45 +0000 2022,-95.7787115,29.721989,@AdeOLUWA888 @lafemmebee Those ones na replicas.
1517009423423660033,Technocrat666,Thu Apr 21 05:16:45 +0000 2022,-84.25645800000001,36.0180115,@egavactip Piss junkies are such posers.
